sales_id,production_id,crop_type,crop_variety,buyer_name,buyer_type,buyer_region,channel_type,transaction_date,quantity_sold_kg,unit_price_eur,total_revenue_eur,discount_applied_eur,net_revenue_eur,shipping_cost_eur,profit_margin_pct,market_price_per_kg,price_variance
25,11644,Wheat,Emmer,Bowen-Compton,Wholesaler,Bavaria,Direct,2025-01-01,1791.8,0.63,1128.83,29.93,1044.17,54.73,12.6,0.69,-0.06
26,2438,Soybean,Black,"Thomas, Krueger and Trujillo",Exporter,Lower Saxony,Cooperative,2025-04-17,1115.5,0.47,524.28,2.14,464.99,57.15,7.16,0.5,-0.03
27,14307,Potato,Russet,Lynn and Sons,Retailer,Brandenburg,Online,2025-03-17,269.9,1.04,280.7,47.45,157.76,75.49,23.25,1.03,0.01
28,2088,Potato,Red,Lopez-Allen,Retailer,Brandenburg,Direct,2025-05-02,1459.1,0.96,1400.74,14.7,1307.2,78.84,12.06,0.89,0.07
29,13702,Potato,Red,Lopez Ltd,Retailer,Bavaria,Cooperative,2025-02-21,560.5,0.74,414.77,34.36,344.42,35.99,9.39,0.71,0.03
30,12244,Soybean,Black,White-Miller,Exporter,Hesse,Cooperative,2024-12-18,810.7,0.66,535.06,25.4,469.84,39.82,9.78,0.72,-0.06
31,6971,Potato,Red,"Carpenter, Baker and Smith",Exporter,Lower Saxony,Direct,2025-04-15,1984.5,1.14,2262.33,5.46,2197.86,59.01,7.26,1.06,0.08
32,12391,Soybean,Black,Martin-Clayton,Exporter,Saxony,Cooperative,2025-03-28,1573.4,0.47,739.5,46.43,679.27,13.8,23.37,0.49,-0.02
33,2688,Potato,Russet,Marshall-Johnston,Wholesaler,Brandenburg,Cooperative,2024-02-10,1446.3,0.93,1345.06,14.38,1292.93,37.75,12.19,0.85,0.08
34,12720,Barley,Hulless,Parks Inc,Retailer,Brandenburg,Cooperative,2025-04-01,1665.5,1.49,2481.59,38.99,2345.41,97.19,17.52,1.49,0.0
35,8743,Corn,Sweet,"Brown, Adams and Barnes",Retailer,Bavaria,Online,2025-05-05,222.8,1.31,291.87,36.7,172.51,82.66,12.07,1.21,0.1
36,13076,Soybean,Yellow,"Mack, Rodgers and Gibson",Exporter,Hesse,Online,2024-07-07,1922.0,0.48,922.56,19.28,867.47,35.81,18.41,0.48,0.0
37,7052,Potato,Russet,Sullivan Group,Retailer,Lower Saxony,Direct,2025-04-09,1751.9,0.36,630.68,30.15,528.86,71.67,20.08,0.34,0.02
38,2578,Potato,Red,Mitchell-Taylor,Exporter,Lower Saxony,Cooperative,2025-05-05,1013.0,1.13,1144.69,1.81,1078.55,64.33,22.36,1.07,0.06
39,94,Wheat,Emmer,"Booth, Smith and Farmer",Wholesaler,Hesse,Direct,2024-08-12,704.7,1.41,993.63,3.92,904.51,85.2,17.58,1.46,-0.05
40,11304,Potato,Red,"Page, Robinson and Liu",Wholesaler,Brandenburg,Cooperative,2024-01-24,816.5,1.04,849.16,2.18,800.68,46.3,23.67,1.02,0.02
41,11565,Barley,Hulled,Foster-Hudson,Exporter,Hesse,Direct,2025-02-26,1323.0,0.41,542.43,22.58,464.74,55.11,7.93,0.45,-0.04
42,5053,Wheat,Durum,Pollard-Harrell,Wholesaler,Brandenburg,Cooperative,2025-03-09,941.8,1.35,1271.43,13.83,1199.61,57.99,5.08,1.34,0.01
43,11802,Soybean,Black,"Bowers, Bolton and Morse",Exporter,Saxony,Online,2025-04-28,1058.9,1.04,1101.26,3.03,1085.12,13.11,12.87,0.99,0.05
44,10583,Barley,Hulless,"Jacobson, Andrews and Farley",Wholesaler,Hesse,Direct,2025-04-20,295.8,0.66,195.23,17.06,149.22,28.95,11.49,0.63,0.03
45,689,Soybean,Yellow,Hammond-Bennett,Exporter,Saxony,Online,2025-05-01,1087.9,1.05,1142.3,43.35,1029.4,69.55,6.93,1.12,-0.07
46,14381,Corn,Sweet,"Martinez, Harrison and Moore",Wholesaler,Lower Saxony,Direct,2024-11-11,1790.3,1.55,2774.96,37.87,2718.62,18.47,14.32,1.45,0.1
47,7024,Potato,Russet,Knight LLC,Retailer,Lower Saxony,Direct,2025-04-07,1404.0,0.71,996.84,30.37,917.85,48.62,8.76,0.78,-0.07
48,1739,Soybean,Black,Graham-Johnson,Retailer,Hesse,Cooperative,2025-03-25,1938.8,1.46,2830.65,1.55,2796.85,32.25,16.83,1.36,0.1
49,1240,Potato,Red,Montgomery-Tanner,Wholesaler,Lower Saxony,Cooperative,2024-08-27,975.3,0.78,760.73,2.82,712.19,45.72,5.27,0.8,-0.02
50,8961,Potato,Russet,Rodriguez-Morton,Wholesaler,Brandenburg,Direct,2025-01-21,1120.7,0.88,986.22,17.31,870.69,98.22,22.62,0.83,0.05
51,5277,Corn,Dent,Williams-Mcguire,Exporter,Hesse,Online,2024-10-03,1802.4,1.23,2216.95,2.59,2148.05,66.31,21.11,1.35,-0.12
52,1351,Wheat,Emmer,Patrick-Mcdaniel,Wholesaler,Hesse,Online,2025-05-05,1563.1,1.06,1656.89,28.28,1584.23,44.38,12.14,1.06,0.0
53,1243,Soybean,Black,"Jarvis, Kennedy and Pacheco",Exporter,Lower Saxony,Cooperative,2025-03-10,894.7,0.47,420.51,13.86,396.59,10.06,21.48,0.47,0.0
54,6918,Barley,Hulled,Robbins and Sons,Wholesaler,Hesse,Direct,2024-06-18,1386.7,1.31,1816.58,11.95,1716.14,88.49,23.07,1.34,-0.03
55,4703,Corn,Sweet,Swanson-Jackson,Wholesaler,Lower Saxony,Cooperative,2024-12-30,611.1,0.35,213.88,45.71,75.37,92.8,16.53,0.33,0.02
56,13631,Corn,Sweet,"Garcia, Smith and Edwards",Exporter,Saxony,Direct,2024-08-18,1151.5,0.64,736.96,16.17,637.67,83.12,13.79,0.7,-0.06
57,9520,Potato,Russet,Tran-Rivera,Wholesaler,Lower Saxony,Cooperative,2024-05-29,1436.9,1.14,1638.07,29.75,1562.0,46.32,20.57,1.09,0.05
58,13302,Corn,Sweet,Wheeler and Sons,Wholesaler,Bavaria,Direct,2025-01-21,1671.0,0.5,835.5,32.37,758.15,44.98,9.74,0.52,-0.02
59,8092,Potato,Russet,"Taylor, Mata and Hill",Exporter,Brandenburg,Cooperative,2024-08-31,946.6,0.38,359.71,16.02,259.3,84.39,23.63,0.4,-0.02
60,1314,Soybean,Black,Ford PLC,Retailer,Hesse,Online,2025-04-17,1450.9,1.2,1741.08,26.17,1637.91,77.0,14.31,1.27,-0.07
61,6132,Soybean,Black,Park Inc,Wholesaler,Brandenburg,Cooperative,2025-04-17,803.4,0.78,626.65,20.57,571.16,34.92,20.57,0.71,0.07
62,10001,Soybean,Yellow,Hamilton Inc,Exporter,Hesse,Online,2025-05-05,1635.6,1.32,2158.99,48.25,2081.32,29.42,15.47,1.38,-0.06
63,4715,Potato,Russet,Delgado Group,Wholesaler,Hesse,Direct,2024-08-19,735.3,0.82,602.95,36.91,493.05,72.99,9.86,0.88,-0.06
64,3174,Soybean,Black,Williams-Chan,Retailer,Brandenburg,Direct,2024-11-16,371.4,0.6,222.84,23.58,100.55,98.71,22.49,0.55,0.05
65,1747,Soybean,Black,Jackson-Herrera,Retailer,Bavaria,Direct,2025-05-05,1743.0,0.49,854.07,18.22,824.73,11.12,21.7,0.45,0.04
66,14165,Soybean,Black,Thomas Inc,Retailer,Lower Saxony,Online,2025-04-25,1858.3,1.33,2471.54,5.62,2451.98,13.94,18.38,1.28,0.05
67,11945,Soybean,Yellow,Sutton-Hughes,Exporter,Brandenburg,Cooperative,2025-04-20,1903.4,0.69,1313.35,34.75,1224.71,53.89,22.93,0.76,-0.07
68,9418,Potato,Red,"Reed, Butler and Ramos",Exporter,Lower Saxony,Online,2025-04-15,1881.1,0.89,1674.18,45.8,1616.44,11.94,16.1,0.85,0.04
69,10575,Barley,Hulless,Anderson-Patterson,Retailer,Bavaria,Cooperative,2025-03-30,1485.9,0.61,906.4,25.09,788.73,92.58,22.57,0.65,-0.04
70,2200,Soybean,Yellow,Hughes PLC,Exporter,Lower Saxony,Direct,2024-12-19,692.5,1.34,927.95,5.35,880.61,41.99,19.76,1.23,0.11
71,12788,Corn,Sweet,"Johnson, Phillips and Stewart",Retailer,Hesse,Cooperative,2025-04-06,319.3,0.34,108.56,35.2,31.17,42.19,7.14,0.37,-0.03
72,14201,Wheat,Durum,Martin Inc,Wholesaler,Saxony,Direct,2025-02-03,379.9,0.92,349.51,23.96,253.44,72.11,11.66,0.99,-0.07
73,11578,Soybean,Yellow,Mills-Johnson,Wholesaler,Brandenburg,Online,2024-04-25,1536.8,0.61,937.45,49.72,830.44,57.29,24.63,0.65,-0.04
74,10247,Potato,Russet,"Robinson, Rowe and Hanson",Exporter,Brandenburg,Direct,2025-03-17,857.5,0.82,703.15,41.66,577.91,83.58,8.61,0.9,-0.08
75,634,Soybean,Black,Parker Inc,Retailer,Bavaria,Online,2025-05-04,1865.4,1.0,1865.4,44.03,1783.99,37.38,13.34,1.02,-0.02
76,10666,Barley,Hulled,Graves-Mills,Exporter,Hesse,Cooperative,2025-05-05,920.6,0.75,690.45,32.6,564.19,93.66,12.4,0.73,0.02
77,231,Barley,Hulled,Vang Inc,Wholesaler,Bavaria,Online,2025-02-13,1883.1,0.61,1148.69,6.61,1092.61,49.47,5.38,0.57,0.04
78,8967,Wheat,Durum,Graham PLC,Retailer,Brandenburg,Direct,2024-12-07,1564.9,0.93,1455.36,38.43,1360.88,56.05,10.55,0.97,-0.04
79,8859,Wheat,Durum,Harris LLC,Retailer,Saxony,Cooperative,2024-07-19,1300.9,0.91,1183.82,5.21,1162.59,16.02,12.97,0.88,0.03
80,14076,Barley,Hulless,Mcfarland-Bates,Exporter,Lower Saxony,Cooperative,2024-12-05,242.6,1.28,310.53,9.07,210.18,91.28,12.49,1.17,0.11
81,10575,Barley,Hulless,Branch Ltd,Exporter,Lower Saxony,Direct,2024-04-25,630.5,0.64,403.52,14.67,324.43,64.42,12.68,0.65,-0.01
82,9296,Corn,Dent,Bentley PLC,Exporter,Saxony,Direct,2024-07-15,762.8,1.11,846.71,15.47,737.77,93.47,8.91,1.15,-0.04
83,8230,Barley,Hulless,Owen-Williams,Retailer,Hesse,Online,2024-05-10,1630.8,0.98,1598.18,28.97,1470.29,98.92,18.17,1.08,-0.1
84,14731,Soybean,Yellow,"Smith, Sullivan and Hebert",Wholesaler,Bavaria,Cooperative,2024-05-14,1383.1,0.35,484.08,45.56,341.08,97.44,11.25,0.33,0.02
85,5305,Wheat,Durum,Manning Inc,Exporter,Saxony,Online,2025-02-09,1757.7,0.66,1160.08,49.49,1030.25,80.34,23.4,0.66,0.0
86,11072,Soybean,Black,Moyer-Flores,Retailer,Bavaria,Cooperative,2024-08-07,511.2,0.89,454.97,34.78,321.96,98.23,16.98,0.89,0.0
87,2307,Barley,Hulless,"Miller, Mcdonald and Robbins",Wholesaler,Lower Saxony,Cooperative,2024-02-13,1328.2,0.34,451.59,30.45,361.48,59.66,11.07,0.33,0.01
88,4451,Soybean,Yellow,Jackson Ltd,Retailer,Hesse,Cooperative,2025-04-21,960.4,1.07,1027.63,22.16,961.5,43.97,19.29,1.14,-0.07
89,7620,Wheat,Durum,Rodriguez-Pruitt,Wholesaler,Brandenburg,Cooperative,2025-03-09,849.8,1.24,1053.75,2.31,966.43,85.01,9.14,1.22,0.02
90,11737,Wheat,Emmer,Hicks-Walker,Exporter,Bavaria,Direct,2024-08-15,354.2,0.49,173.56,30.39,127.43,15.74,22.31,0.53,-0.04
91,8187,Wheat,Durum,Hobbs-Lopez,Wholesaler,Brandenburg,Cooperative,2024-09-09,647.9,1.31,848.75,6.23,749.14,93.38,18.74,1.36,-0.05
92,6437,Barley,Hulless,King-Woodard,Exporter,Bavaria,Online,2025-04-02,450.9,0.6,270.54,44.63,214.71,11.2,14.38,0.63,-0.03
93,3036,Barley,Hulled,Taylor PLC,Retailer,Lower Saxony,Direct,2024-08-07,1441.0,1.03,1484.23,25.82,1385.13,73.28,6.5,0.98,0.05
94,7039,Wheat,Durum,Graham Ltd,Wholesaler,Hesse,Cooperative,2023-12-21,1084.9,0.91,987.26,11.27,906.56,69.43,23.56,0.98,-0.07
95,5883,Corn,Dent,"Ho, Wood and Edwards",Exporter,Brandenburg,Cooperative,2025-03-19,1870.4,1.23,2300.59,21.34,2264.95,14.3,9.91,1.36,-0.13
96,3584,Wheat,Durum,"Warner, Blackwell and Morse",Wholesaler,Bavaria,Direct,2025-01-15,1840.5,1.0,1840.5,4.4,1788.52,47.58,21.92,1.03,-0.03
97,7609,Potato,Red,Hale-Short,Wholesaler,Hesse,Cooperative,2025-04-14,933.1,0.79,737.15,41.48,669.27,26.4,9.38,0.8,-0.01
98,14131,Soybean,Yellow,Buckley Inc,Wholesaler,Bavaria,Online,2024-05-24,1027.2,0.58,595.78,6.6,530.78,58.4,11.41,0.6,-0.02
99,3307,Corn,Dent,Smith-Carter,Wholesaler,Saxony,Direct,2024-04-27,1559.8,1.11,1731.38,33.85,1619.55,77.98,18.64,1.02,0.09
100,10453,Corn,Dent,"Brooks, Johnson and Diaz",Exporter,Lower Saxony,Cooperative,2024-07-18,1902.8,0.37,704.04,14.35,620.25,69.44,7.21,0.4,-0.03
101,2414,Corn,Dent,"Williams, Johnson and Cox",Retailer,Brandenburg,Cooperative,2024-12-02,1472.6,1.09,1605.13,44.32,1483.52,77.29,21.97,1.11,-0.02
102,6903,Barley,Hulless,"Richardson, Raymond and Hardin",Retailer,Bavaria,Direct,2025-02-05,804.6,1.07,860.92,30.34,799.93,30.65,23.68,1.01,0.06
103,10627,Potato,Red,Webb Ltd,Retailer,Brandenburg,Direct,2024-10-11,828.8,1.16,961.41,46.89,818.86,95.66,9.86,1.23,-0.07
104,5066,Potato,Red,Dunlap PLC,Exporter,Lower Saxony,Cooperative,2024-04-25,910.5,0.64,582.72,36.32,453.92,92.48,19.24,0.67,-0.03
105,14439,Corn,Dent,"Petty, Scott and Wolf",Exporter,Hesse,Online,2025-04-15,1399.8,0.99,1385.8,39.97,1267.36,78.47,8.52,1.05,-0.06
106,12659,Corn,Dent,Saunders-Alexander,Wholesaler,Saxony,Cooperative,2024-12-28,515.3,0.96,494.69,42.74,441.79,10.16,12.37,0.94,0.02
107,8382,Barley,Hulled,"Smith, Ochoa and Walker",Exporter,Bavaria,Direct,2024-11-20,1600.9,0.54,864.49,15.89,819.47,29.13,10.36,0.57,-0.03
108,9202,Wheat,Durum,Knight PLC,Exporter,Bavaria,Online,2024-09-21,1123.6,0.77,865.17,36.52,754.01,74.64,14.64,0.85,-0.08
109,12879,Corn,Sweet,Gonzalez-Hudson,Exporter,Brandenburg,Direct,2024-06-11,1799.0,0.97,1745.03,0.05,1698.35,46.63,16.37,0.93,0.04
110,7803,Corn,Sweet,Kim Ltd,Retailer,Saxony,Online,2025-03-12,489.4,0.87,425.78,17.77,338.79,69.22,11.66,0.91,-0.04
111,1740,Barley,Hulless,Ramirez Group,Exporter,Lower Saxony,Cooperative,2024-11-30,542.1,0.92,498.73,3.02,451.86,43.85,11.7,0.86,0.06
112,2130,Corn,Sweet,"Hill, Valencia and Sanchez",Wholesaler,Saxony,Cooperative,2025-03-25,1741.3,0.66,1149.26,33.45,1045.9,69.91,23.51,0.65,0.01
113,3141,Barley,Hulless,Klein Ltd,Exporter,Saxony,Online,2024-12-01,1173.9,0.28,328.69,33.63,235.81,59.25,5.83,0.31,-0.03
114,13662,Potato,Russet,Murray Ltd,Wholesaler,Brandenburg,Online,2025-05-05,501.4,0.37,185.52,9.73,150.01,25.78,17.89,0.36,0.01
115,660,Soybean,Yellow,Schultz LLC,Wholesaler,Saxony,Cooperative,2024-06-14,1837.1,1.36,2498.46,39.12,2394.29,65.05,9.92,1.45,-0.09
116,9168,Potato,Russet,"Cook, Jackson and Saunders",Wholesaler,Brandenburg,Direct,2025-02-04,544.6,0.76,413.9,9.66,367.24,37.0,24.54,0.7,0.06
117,6742,Soybean,Yellow,Russell and Sons,Wholesaler,Lower Saxony,Online,2025-02-28,1693.4,0.48,812.83,41.97,738.77,32.09,14.51,0.44,0.04
118,11803,Barley,Hulless,"Howard, Walsh and Greer",Wholesaler,Lower Saxony,Online,2025-03-17,1051.9,1.35,1420.07,21.99,1305.97,92.11,13.58,1.27,0.08
119,9333,Soybean,Black,"Waters, Cobb and Oliver",Wholesaler,Saxony,Online,2024-12-22,1162.8,0.51,593.03,27.89,532.22,32.92,7.28,0.51,0.0
120,10317,Soybean,Black,Lewis-Hammond,Retailer,Hesse,Direct,2025-04-29,1216.1,0.95,1155.29,44.06,1032.72,78.51,18.81,1.0,-0.05
121,3517,Potato,Russet,James-Mendoza,Retailer,Saxony,Direct,2025-05-05,1105.4,0.59,652.19,5.83,620.64,25.72,18.13,0.57,0.02
122,11497,Barley,Hulled,Mccormick-Wallace,Retailer,Brandenburg,Online,2025-04-27,796.2,0.86,684.73,0.37,647.82,36.54,22.29,0.8,0.06
123,9460,Wheat,Durum,Torres-Harris,Retailer,Saxony,Online,2025-05-05,1068.8,1.41,1507.01,0.47,1427.22,79.32,21.94,1.29,0.12
124,10915,Barley,Hulled,Robinson and Sons,Exporter,Hesse,Cooperative,2024-11-07,927.1,1.28,1186.69,23.9,1141.73,21.06,16.69,1.24,0.04
125,3625,Barley,Hulless,Michael-Ortega,Retailer,Hesse,Online,2024-01-19,626.7,0.71,444.96,2.75,367.72,74.49,10.31,0.79,-0.08
126,10907,Soybean,Black,Phillips-Melton,Retailer,Saxony,Online,2025-03-03,728.2,1.28,932.1,39.86,845.3,46.94,9.83,1.27,0.01
127,10040,Corn,Sweet,Ramirez PLC,Wholesaler,Saxony,Cooperative,2025-05-05,1426.4,1.53,2182.39,47.93,2119.69,14.77,9.28,1.42,0.11
128,750,Wheat,Durum,Cisneros Inc,Retailer,Lower Saxony,Cooperative,2025-04-17,1853.1,1.26,2334.91,20.08,2237.28,77.55,6.1,1.35,-0.09
129,558,Potato,Russet,"Gates, Yang and Simmons",Exporter,Lower Saxony,Cooperative,2025-04-19,1662.2,0.88,1462.74,17.43,1405.08,40.23,7.77,0.8,0.08
130,2412,Barley,Hulless,Davis-Carter,Retailer,Hesse,Online,2025-05-03,690.0,0.6,414.0,12.37,350.07,51.56,12.3,0.65,-0.05
131,3998,Wheat,Durum,"Parker, Salazar and Taylor",Exporter,Saxony,Online,2024-11-12,1681.3,0.3,504.39,49.4,389.45,65.54,14.27,0.31,-0.01
132,11004,Wheat,Emmer,Powell-Spencer,Exporter,Bavaria,Direct,2025-03-23,1429.4,0.99,1415.11,14.65,1329.27,71.19,7.56,0.98,0.01
133,12553,Barley,Hulled,Salinas-Thompson,Exporter,Brandenburg,Online,2024-12-22,1599.8,0.68,1087.86,14.42,1038.62,34.82,7.78,0.71,-0.03
134,13928,Corn,Sweet,Fletcher Inc,Exporter,Brandenburg,Online,2024-07-31,1884.5,1.16,2186.02,1.04,2142.38,42.6,22.5,1.24,-0.08
135,3630,Barley,Hulled,Murphy-Morrison,Exporter,Hesse,Online,2025-01-05,1200.7,1.0,1200.7,36.64,1091.39,72.67,8.39,0.93,0.07
136,5409,Soybean,Yellow,Rodriguez Inc,Wholesaler,Hesse,Cooperative,2024-11-27,853.5,1.5,1280.25,22.05,1218.2,40.0,17.21,1.44,0.06
137,2625,Corn,Dent,"Jackson, Stevens and Barrera",Wholesaler,Lower Saxony,Cooperative,2024-09-15,570.1,0.41,233.74,27.17,170.74,35.83,16.29,0.42,-0.01
138,12549,Corn,Sweet,Le-Martin,Exporter,Brandenburg,Direct,2024-10-22,503.9,1.12,564.37,16.29,455.85,92.23,6.57,1.11,0.01
139,5717,Corn,Dent,Alvarez Ltd,Wholesaler,Saxony,Direct,2025-05-05,1973.8,0.71,1401.4,0.8,1334.9,65.7,18.49,0.77,-0.06
140,5732,Barley,Hulless,Martinez-Thompson,Retailer,Bavaria,Cooperative,2025-05-05,1877.1,0.65,1220.12,42.19,1102.61,75.32,8.48,0.71,-0.06
141,3813,Barley,Hulless,Hansen and Sons,Wholesaler,Hesse,Cooperative,2025-05-02,217.1,1.13,245.32,5.52,200.41,39.39,9.1,1.12,0.01
142,8874,Soybean,Yellow,"Nelson, Thompson and Wilson",Wholesaler,Saxony,Direct,2025-04-22,569.3,1.32,751.48,5.49,687.65,58.34,19.48,1.45,-0.13
143,8422,Potato,Russet,Morris-Garcia,Exporter,Saxony,Direct,2025-04-09,1704.9,0.55,937.7,3.51,861.87,72.32,22.18,0.57,-0.02
144,4494,Wheat,Emmer,"Anderson, Lane and Wilkerson",Exporter,Hesse,Direct,2025-05-05,774.7,0.45,348.62,40.6,218.25,89.77,8.7,0.49,-0.04
145,4595,Potato,Russet,Robles and Sons,Retailer,Brandenburg,Direct,2025-04-02,984.9,1.32,1300.07,36.54,1248.26,15.27,15.64,1.35,-0.03
146,1740,Barley,Hulless,"Brown, Roman and Kelly",Wholesaler,Hesse,Cooperative,2024-12-26,394.8,0.91,359.27,33.52,273.57,52.18,13.89,0.86,0.05
147,4213,Soybean,Black,Mahoney-Young,Wholesaler,Saxony,Online,2024-11-16,872.8,0.42,366.58,36.48,265.58,64.52,17.87,0.42,0.0
148,11665,Potato,Russet,Austin Group,Retailer,Bavaria,Online,2025-01-05,1507.7,1.13,1703.7,5.08,1631.83,66.79,11.39,1.21,-0.08
149,12133,Soybean,Black,Soto-Nelson,Retailer,Bavaria,Direct,2025-04-24,824.0,1.22,1005.28,49.53,918.92,36.83,23.5,1.16,0.06
150,3040,Corn,Sweet,Fernandez-Lawson,Wholesaler,Saxony,Online,2024-08-26,1234.3,1.19,1468.82,35.04,1387.9,45.88,19.54,1.18,0.01
151,14483,Barley,Hulled,"Franco, Chan and Quinn",Retailer,Saxony,Cooperative,2025-05-05,492.1,1.51,743.07,22.32,664.51,56.24,7.41,1.42,0.09
152,3614,Barley,Hulless,Greer-Wallace,Retailer,Brandenburg,Cooperative,2025-05-05,758.3,0.7,530.81,10.15,437.46,83.2,13.65,0.77,-0.07
153,12713,Wheat,Emmer,Villegas and Sons,Exporter,Saxony,Direct,2023-12-10,786.0,0.52,408.72,26.4,345.64,36.68,11.92,0.55,-0.03
154,2059,Soybean,Black,"Wilson, Clarke and Sutton",Retailer,Lower Saxony,Online,2025-04-23,1186.3,0.97,1150.71,38.32,1023.52,88.87,10.37,0.9,0.07
155,10964,Barley,Hulless,"Huff, Brown and Morrison",Exporter,Bavaria,Cooperative,2025-05-05,433.8,0.91,394.76,32.98,281.72,80.06,5.12,0.9,0.01
156,965,Wheat,Emmer,Chang-Anderson,Retailer,Lower Saxony,Online,2025-05-05,442.0,1.01,446.42,45.03,380.42,20.97,24.89,0.93,0.08
157,8394,Corn,Dent,Johnson and Sons,Exporter,Saxony,Direct,2025-01-10,1990.7,0.52,1035.16,8.44,956.81,69.91,6.28,0.48,0.04
158,9352,Wheat,Emmer,"Michael, Kelley and Johnson",Retailer,Hesse,Direct,2025-03-27,1830.5,1.47,2690.84,42.14,2595.3,53.4,16.96,1.45,0.02
159,7497,Corn,Dent,Marks PLC,Exporter,Lower Saxony,Direct,2025-03-28,542.5,0.45,244.12,22.76,141.89,79.47,10.93,0.49,-0.04
160,3278,Soybean,Yellow,"Cole, Davis and Collins",Exporter,Brandenburg,Direct,2025-01-20,1785.8,0.95,1696.51,39.44,1632.72,24.35,8.47,0.99,-0.04
161,9546,Potato,Red,Dawson Inc,Retailer,Brandenburg,Direct,2025-05-01,873.7,1.02,891.17,42.62,817.99,30.56,16.15,0.96,0.06
