production_id,farm_name,field_id,field_location,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_quantity_kg,pesticide_type,pesticide_quantity_ltr,irrigation_type,irrigation_quantity_ltr,total_yield_kg,avg_yield_per_hectare,soil_ph,rainfall_mm,avg_temperature_c,labor_hours,number_of_workers,machinery_used,expected_market_price_per_kg,expected_total_revenue_eur
16,"Ferrell, Rice and Maddox",F-457,Lake Jenniferside,Soybean,Yellow,2024-02-22,2024-05-31,NPK 15-15-15,269.8,Chlorpyrifos,12.1,Sprinkler,1750.6,5838.7,3862.2,6.91,567.0,25.8,148.1,2,Plough,0.46,2685.81
17,Mack-Peterson,F-209,Ryanmouth,Potato,Red,2024-12-05,2025-03-18,Compost,188.3,Chlorpyrifos,12.0,Drip,1576.4,9450.4,12295.8,5.91,580.5,15.7,123.3,2,Tractor,0.44,4158.16
18,"Liu, Baker and Mason",F-368,New Rita,Soybean,Black,2023-05-04,2023-08-07,NPK 15-15-15,235.3,Neem Oil,22.6,Flood,514.5,1031.9,505.3,5.65,729.9,24.7,131.8,7,Plough,1.06,1093.83
19,"Evans, Fowler and Lynch",F-915,West Kathryn,Potato,Russet,2025-03-08,2025-07-31,NPK 15-15-15,274.7,Glyphosate,22.1,Flood,654.2,2147.0,1923.0,7.06,730.5,17.7,143.1,4,Tractor,1.38,2962.87
20,"Sellers, George and Burns",F-521,West Natashaport,Corn,Sweet,2024-06-23,2024-11-12,Compost,266.0,Glyphosate,11.7,Flood,662.1,1223.1,619.9,7.24,715.2,15.1,172.5,9,Harvester,0.7,856.15
21,Allen PLC,F-985,North Jessicaland,Barley,Hulled,2023-11-03,2024-02-29,NPK 15-15-15,291.7,Chlorpyrifos,13.8,Flood,1099.5,1213.0,1368.7,7.46,521.7,25.1,67.3,6,Tractor,0.69,836.96
22,"Cannon, Anderson and Alvarez",F-421,West Allison,Potato,Red,2024-12-12,2025-03-16,Urea,201.6,Neem Oil,7.9,Flood,785.1,1975.6,1443.0,5.59,461.6,19.3,171.0,5,Harvester,1.17,2311.48
23,Brandt-Hickman,F-407,Lake Larry,Soybean,Yellow,2024-08-15,2024-12-25,Compost,127.3,Chlorpyrifos,13.2,Flood,943.5,6608.4,3617.5,5.75,452.3,25.2,151.6,4,Plough,0.45,2973.78
24,"Brooks, Lam and Hayes",F-540,East Caleb,Potato,Red,2024-10-04,2025-02-22,Compost,201.7,Chlorpyrifos,16.6,Sprinkler,1513.4,5931.4,11843.6,6.52,676.2,25.4,160.4,3,Harvester,0.64,3796.12
25,"Spencer, Chapman and Smith",F-330,East Carloston,Potato,Red,2023-05-18,2023-08-27,NPK 15-15-15,86.8,Glyphosate,11.1,Sprinkler,1416.9,8365.8,4178.2,7.04,473.2,24.4,136.4,8,Harvester,1.11,9286.05
26,Jones-Young,F-888,Lewisberg,Soybean,Yellow,2025-02-27,2025-06-15,NPK 15-15-15,244.6,Glyphosate,9.4,Flood,1276.9,6904.5,13509.4,5.6,349.5,23.9,118.5,9,Plough,1.2,8285.43
27,"Johnston, Sanchez and Kennedy",F-950,Leeville,Potato,Red,2024-11-13,2025-04-08,Compost,161.5,Glyphosate,23.6,Sprinkler,1175.1,6513.9,3360.2,7.0,703.9,15.9,166.7,9,Plough,0.91,5927.62
28,Gomez-Jenkins,F-427,Lake Deniseville,Corn,Dent,2024-09-24,2025-02-17,Compost,70.1,Glyphosate,10.8,Flood,729.2,1697.4,1584.2,5.93,448.9,16.6,119.9,2,Tractor,0.63,1069.33
29,Chandler-Mcbride,F-106,East Jamesside,Soybean,Black,2023-06-18,2023-09-18,Urea,124.7,Chlorpyrifos,26.3,Sprinkler,1307.3,8710.6,4288.4,6.97,679.9,24.6,123.2,6,Harvester,0.76,6620.05
30,Henderson LLC,F-269,Wrightland,Soybean,Yellow,2024-04-14,2024-08-31,Urea,279.9,Neem Oil,18.4,Sprinkler,1387.8,4025.2,2166.1,6.83,250.4,18.0,180.0,4,Tractor,0.79,3179.88
31,"Garcia, Pearson and Fernandez",F-488,North Sarabury,Barley,Hulless,2024-04-10,2024-08-19,Urea,238.0,Chlorpyrifos,11.3,Drip,1205.5,2904.9,2518.0,7.0,231.3,25.3,83.6,3,Plough,1.21,3514.98
32,Tucker-Lewis,F-229,Barreraburgh,Wheat,Durum,2023-09-08,2024-01-07,Urea,217.4,Neem Oil,28.7,Sprinkler,1549.2,2794.2,5167.3,7.03,300.7,20.5,162.2,3,Tractor,0.48,1341.24
33,Galloway LLC,F-484,Mitchellside,Barley,Hulled,2024-02-20,2024-05-23,Urea,285.4,Glyphosate,6.9,Flood,1745.9,9360.0,5667.2,5.99,618.3,16.2,152.6,3,Plough,1.39,13010.38
34,"Tucker, Lee and Robinson",F-449,New Jillton,Wheat,Emmer,2024-09-27,2025-03-04,NPK 15-15-15,262.4,Chlorpyrifos,7.6,Sprinkler,1453.4,4855.4,3912.0,7.16,624.4,18.1,160.1,6,Plough,0.91,4418.42
35,Brown-Silva,F-972,North Susan,Potato,Red,2024-12-02,2025-04-30,NPK 15-15-15,257.7,Glyphosate,12.0,Sprinkler,865.8,4920.2,2507.7,6.43,566.2,17.3,54.3,7,Tractor,0.62,3050.51
36,Jones Inc,F-818,South David,Soybean,Yellow,2023-07-03,2023-11-15,Urea,188.9,Neem Oil,28.7,Drip,862.0,8180.5,6928.6,6.31,533.1,15.4,121.4,9,Harvester,1.36,11125.47
37,"Sanchez, Wheeler and Harvey",F-695,Sandovalshire,Wheat,Durum,2025-03-23,2025-07-28,Urea,168.3,Neem Oil,13.6,Flood,1325.6,2994.4,1589.7,6.2,472.2,16.3,84.6,5,Harvester,0.67,2006.23
38,Donovan-Harris,F-878,Johnfurt,Wheat,Durum,2024-06-11,2024-10-03,Compost,199.2,Glyphosate,25.8,Sprinkler,841.2,2947.5,2007.3,5.86,208.5,19.5,91.1,2,Plough,1.17,3448.53
39,"Brewer, Bryant and Hickman",F-590,North Stephenshire,Barley,Hulled,2023-08-11,2024-01-10,Urea,135.2,Glyphosate,11.3,Sprinkler,671.1,1923.3,3666.7,5.63,495.0,20.1,153.0,4,Tractor,0.64,1230.9
40,Medina PLC,F-720,Davidstad,Potato,Red,2023-07-18,2023-10-26,Compost,247.7,Glyphosate,24.4,Sprinkler,1175.8,9945.3,13496.0,6.39,716.1,25.9,95.8,2,Plough,1.22,12133.22
41,Suarez LLC,F-665,Ericside,Wheat,Durum,2025-03-16,2025-07-11,NPK 15-15-15,89.1,Chlorpyrifos,16.3,Flood,1204.9,3381.8,5105.6,5.57,372.9,16.0,178.9,3,Plough,0.59,1995.27
42,Carr-Archer,F-372,Lake Lisaport,Corn,Dent,2024-10-29,2025-02-21,NPK 15-15-15,67.9,Glyphosate,24.8,Flood,1623.4,4826.3,3037.0,6.64,373.2,13.7,153.3,8,Harvester,1.08,5212.35
43,"Garcia, Humphrey and Baker",F-430,Lake Angelaview,Potato,Red,2025-04-24,2025-09-17,Compost,112.6,Glyphosate,10.7,Flood,1753.9,1724.0,2973.8,6.65,770.5,26.0,150.8,6,Plough,0.82,1413.66
44,"Clark, Cooper and Watts",F-699,Williamview,Wheat,Durum,2023-12-06,2024-05-04,Urea,208.7,Chlorpyrifos,29.2,Sprinkler,1021.9,5670.7,4096.0,6.17,602.1,24.0,99.5,9,Harvester,0.63,3572.52
45,Davis Group,F-891,Bradleymouth,Soybean,Yellow,2025-04-04,2025-08-30,Urea,266.2,Glyphosate,21.4,Flood,1193.0,1792.5,1784.0,5.61,511.1,20.7,124.8,9,Tractor,0.44,788.72
46,Walsh LLC,F-596,Lake Scott,Corn,Dent,2024-12-20,2025-05-29,NPK 15-15-15,57.2,Neem Oil,20.2,Drip,1564.7,2179.1,2025.1,6.12,208.2,17.7,83.7,3,Harvester,1.36,2963.6
47,Hoffman-Rodriguez,F-525,New Barry,Wheat,Durum,2024-10-31,2025-04-02,Urea,295.1,Glyphosate,16.4,Drip,1075.4,9393.9,8668.2,7.34,504.9,24.3,179.6,6,Harvester,1.15,10802.96
48,"Tran, Jordan and Williams",F-775,Rachelton,Barley,Hulless,2024-02-12,2024-05-12,Urea,266.3,Chlorpyrifos,18.5,Sprinkler,998.7,3545.6,3231.7,7.03,426.3,25.1,180.4,5,Plough,1.0,3545.55
49,Clark-Wright,F-930,West Kimberlychester,Soybean,Yellow,2025-03-30,2025-08-19,Urea,146.5,Neem Oil,24.8,Flood,1971.2,1392.8,700.1,6.49,222.2,19.0,138.5,3,Harvester,1.15,1601.75
50,"Moore, Spears and Hancock",F-258,South Angel,Wheat,Emmer,2024-08-26,2024-11-25,NPK 15-15-15,167.4,Chlorpyrifos,13.5,Flood,1096.2,7502.0,5683.5,5.66,397.1,21.4,130.0,7,Plough,1.09,8177.17
51,Patton-Jenkins,F-332,West Erik,Soybean,Yellow,2024-11-24,2025-03-02,Compost,72.6,Glyphosate,24.0,Flood,1808.9,3112.9,1665.7,6.39,616.4,24.6,56.9,2,Harvester,0.64,1992.28
52,Reyes Inc,F-911,Walkermouth,Barley,Hulless,2024-10-27,2025-03-21,NPK 15-15-15,92.5,Glyphosate,20.2,Sprinkler,1429.6,2310.1,1478.6,5.98,747.7,14.0,119.2,6,Harvester,0.98,2263.93
53,Hoover-Savage,F-552,North Donna,Barley,Hulled,2024-01-28,2024-06-25,Urea,296.9,Chlorpyrifos,21.0,Sprinkler,1535.5,9110.9,4910.9,6.41,381.3,26.0,178.0,3,Tractor,0.49,4464.33
54,Ramirez-Jones,F-774,Michaelhaven,Soybean,Black,2024-03-06,2024-07-11,Urea,118.6,Neem Oil,26.6,Flood,1960.4,9934.2,9110.1,7.32,647.1,23.7,185.4,5,Plough,1.47,14603.32
55,"Zavala, Herrera and Crosby",F-775,West Gregoryview,Barley,Hulled,2024-03-07,2024-06-29,Compost,259.6,Neem Oil,7.4,Flood,1469.5,6588.0,3550.5,6.12,464.5,20.1,159.9,3,Harvester,1.17,7707.98
56,Carlson LLC,F-474,Samuelhaven,Barley,Hulless,2023-05-31,2023-09-20,Compost,175.4,Chlorpyrifos,25.8,Sprinkler,1871.1,2807.2,1354.1,7.39,780.4,16.1,180.6,3,Harvester,1.35,3789.66
57,Lam-Lee,F-966,Lake Ryanhaven,Wheat,Durum,2023-07-30,2023-11-25,Compost,141.4,Chlorpyrifos,5.3,Flood,685.4,8741.3,4486.3,6.24,649.4,15.7,107.2,7,Tractor,1.48,12937.07
58,"Mcdaniel, Bentley and Mclaughlin",F-724,West Ryan,Corn,Dent,2025-04-19,2025-07-21,NPK 15-15-15,211.9,Neem Oil,25.6,Flood,953.3,6575.9,2755.7,6.32,283.9,25.2,95.7,9,Tractor,0.69,4537.39
59,Hanson-Alvarado,F-860,Lake Rachelhaven,Wheat,Durum,2024-09-28,2025-03-05,Compost,286.5,Chlorpyrifos,19.7,Flood,731.8,2221.0,1578.2,6.33,259.4,18.9,111.2,6,Tractor,1.1,2443.07
60,"Ortiz, Powell and Phillips",F-802,East Robert,Barley,Hulled,2023-12-28,2024-05-22,Urea,186.1,Neem Oil,14.0,Sprinkler,913.8,5002.3,5145.2,7.44,769.4,23.5,63.8,5,Plough,0.74,3701.67
61,"Adkins, Thompson and Carroll",F-678,Kelleytown,Potato,Russet,2024-02-20,2024-05-26,NPK 15-15-15,67.2,Neem Oil,10.2,Drip,1719.6,8081.2,8186.4,5.97,664.6,23.0,139.4,6,Tractor,0.45,3636.52
62,Clark-Floyd,F-466,Stevenmouth,Corn,Dent,2023-12-24,2024-04-14,NPK 15-15-15,197.2,Glyphosate,9.4,Drip,690.1,1989.3,890.9,6.34,268.2,12.9,117.2,7,Plough,0.46,915.1
63,Dixon Ltd,F-902,Lake Christopher,Potato,Russet,2024-10-07,2025-03-03,Compost,180.4,Chlorpyrifos,21.1,Drip,591.2,5534.5,2314.9,6.46,441.0,21.6,123.5,9,Tractor,0.35,1937.09
64,"Schultz, Rogers and Cardenas",F-661,Lake Lance,Wheat,Emmer,2024-06-05,2024-09-21,Compost,131.3,Neem Oil,18.3,Sprinkler,1258.3,1591.1,1515.3,6.36,675.9,13.6,148.2,10,Plough,1.06,1686.61
65,Hernandez Inc,F-508,South Cheryl,Corn,Dent,2025-01-17,2025-06-13,Urea,232.4,Chlorpyrifos,15.7,Flood,882.3,8992.8,6773.6,7.41,612.1,18.6,63.7,3,Tractor,1.29,11600.74
66,Gibson Ltd,F-675,Lake Heather,Soybean,Yellow,2024-12-18,2025-05-04,Compost,132.4,Glyphosate,15.3,Flood,1911.7,8305.9,5150.2,6.35,749.5,12.7,93.1,6,Harvester,1.0,8305.92
67,Sanchez-Douglas,F-965,Port Michelleville,Wheat,Durum,2024-05-19,2024-09-05,Compost,141.9,Chlorpyrifos,19.4,Sprinkler,1767.7,6910.6,7285.9,7.45,691.1,20.6,146.4,2,Plough,0.43,2971.57
68,Robinson-Brock,F-459,Williamsbury,Barley,Hulled,2024-12-26,2025-04-18,NPK 15-15-15,95.4,Glyphosate,19.2,Sprinkler,604.4,3459.4,1708.5,6.98,783.1,13.3,129.6,8,Harvester,1.41,4877.8
69,Bryant Group,F-681,Stephaniemouth,Soybean,Black,2025-04-13,2025-08-01,Compost,71.2,Glyphosate,8.9,Flood,574.6,4330.5,2228.5,5.66,465.9,17.9,141.1,8,Harvester,1.23,5326.49
70,"Mcclain, Simmons and Meadows",F-598,Merrittfort,Corn,Sweet,2024-08-19,2024-12-31,Compost,216.8,Glyphosate,10.5,Flood,582.2,4869.2,4565.6,5.91,767.2,22.7,164.6,6,Harvester,1.11,5404.84
71,Walton-Larsen,F-820,Katiehaven,Wheat,Durum,2024-04-15,2024-09-15,NPK 15-15-15,175.1,Neem Oil,25.2,Drip,1095.6,7723.1,9071.2,6.98,461.7,18.4,61.7,7,Plough,0.76,5869.58
72,"Allen, Gonzales and Reeves",F-275,West Matthew,Soybean,Black,2024-05-12,2024-10-02,Compost,165.0,Neem Oil,28.0,Drip,1155.1,3605.6,2752.3,5.71,461.4,17.6,61.8,6,Plough,1.46,5264.23
73,"Miller, Hernandez and Reyes",F-643,Lake Jason,Barley,Hulled,2025-03-25,2025-08-04,Compost,98.5,Chlorpyrifos,13.8,Flood,1722.6,8012.1,12274.2,5.97,287.9,14.8,140.4,3,Tractor,1.06,8492.78
74,Rivera-Owens,F-739,East Marissafurt,Soybean,Black,2024-03-19,2024-08-13,Urea,266.1,Neem Oil,12.9,Sprinkler,602.4,7130.2,3149.2,6.38,381.7,15.8,58.4,10,Tractor,1.07,7629.32
75,"Shah, Smith and Gilmore",F-760,Woodsstad,Barley,Hulless,2025-04-03,2025-08-28,NPK 15-15-15,203.8,Neem Oil,14.6,Flood,1331.5,1338.5,1081.6,7.08,737.5,18.3,171.5,5,Harvester,0.64,856.62
76,Castaneda-Ashley,F-957,Medinaside,Potato,Red,2023-12-19,2024-05-21,Urea,295.6,Glyphosate,17.6,Drip,558.7,2357.7,3780.0,6.92,794.6,19.3,141.5,7,Harvester,0.42,990.25
77,"Hurst, Freeman and Nelson",F-746,Johnsonmouth,Barley,Hulless,2025-01-12,2025-06-03,Compost,133.7,Chlorpyrifos,7.4,Flood,1079.8,7970.2,4290.1,6.0,710.9,25.5,140.4,4,Harvester,0.36,2869.27
78,"Yates, Ramsey and Pittman",F-232,New Amanda,Wheat,Durum,2024-10-02,2025-02-13,Compost,227.2,Glyphosate,12.7,Sprinkler,1465.2,3792.1,2092.6,6.16,276.7,21.8,192.1,10,Tractor,1.09,4133.37
79,Vargas-Alvarado,F-884,Lake Roymouth,Soybean,Black,2025-04-05,2025-07-06,Urea,98.0,Glyphosate,8.9,Sprinkler,1766.6,4263.4,4954.4,5.7,662.5,23.7,182.6,2,Plough,0.56,2387.49
80,Green LLC,F-739,South Mark,Barley,Hulled,2023-09-20,2024-02-05,NPK 15-15-15,230.3,Glyphosate,15.3,Flood,1579.4,2388.3,2771.6,7.44,566.4,22.5,167.6,5,Plough,1.13,2698.75
81,Ramirez-Bean,F-684,Kingland,Corn,Dent,2024-12-13,2025-05-12,Urea,165.4,Chlorpyrifos,24.5,Flood,1291.2,9135.8,10287.7,7.43,690.1,23.2,70.8,6,Tractor,1.11,10140.7
82,Curry Inc,F-227,Jeffreyland,Soybean,Black,2024-05-01,2024-10-08,Urea,71.0,Glyphosate,11.8,Flood,721.0,9408.6,4893.2,6.37,767.8,15.1,117.7,7,Tractor,0.92,8655.95
83,"Williams, Johnson and Wright",F-483,New Elijahberg,Soybean,Yellow,2024-12-28,2025-05-17,NPK 15-15-15,57.0,Glyphosate,26.0,Flood,1002.9,5518.1,5679.6,5.79,223.0,24.8,120.9,4,Plough,1.49,8221.92
84,"Wilson, Gould and Marshall",F-253,Katieburgh,Soybean,Black,2024-05-03,2024-08-01,Compost,285.1,Neem Oil,18.2,Drip,1664.3,9152.7,17012.2,5.98,273.1,15.3,145.8,9,Tractor,0.56,5125.52
85,"Stuart, Higgins and Strickland",F-247,West Daniel,Wheat,Emmer,2024-08-14,2025-01-19,Urea,157.3,Neem Oil,13.8,Flood,1124.9,1147.9,749.9,6.83,251.4,25.6,60.2,10,Plough,0.59,677.27
86,Johnston-Odonnell,F-482,Sandersborough,Potato,Russet,2023-05-21,2023-10-07,Urea,236.8,Chlorpyrifos,24.7,Sprinkler,861.7,8860.0,15091.9,6.81,262.2,20.1,163.5,4,Tractor,0.76,6733.59
87,"Vaughn, Burton and Garcia",F-590,Melissaville,Barley,Hulless,2023-06-30,2023-10-20,Compost,95.6,Glyphosate,6.6,Sprinkler,555.5,8473.5,4532.8,5.9,674.7,24.4,97.3,6,Plough,1.48,12540.71
88,"Patton, Reed and Patterson",F-982,Caseymouth,Soybean,Black,2025-01-09,2025-05-11,NPK 15-15-15,266.4,Chlorpyrifos,11.8,Sprinkler,1155.4,1329.6,741.2,6.3,463.8,25.4,100.9,4,Harvester,0.64,850.94
89,Short-Garcia,F-540,Cynthiamouth,Soybean,Black,2023-05-11,2023-10-14,Compost,298.8,Glyphosate,18.6,Sprinkler,653.9,3400.5,5111.8,6.16,377.4,18.2,157.6,4,Plough,0.81,2754.39
90,Graham Ltd,F-545,Christinaside,Soybean,Black,2024-11-01,2025-03-28,Urea,209.9,Glyphosate,6.9,Flood,1109.3,1381.2,616.6,6.53,649.9,14.2,54.7,9,Tractor,0.72,994.46
91,Marshall-Petersen,F-680,Marcusbury,Corn,Sweet,2024-12-23,2025-04-22,NPK 15-15-15,201.3,Neem Oil,16.2,Sprinkler,1058.0,8006.6,6495.4,7.03,544.4,19.4,109.7,6,Tractor,0.76,6085.05
92,Ramirez Group,F-368,Port Steven,Wheat,Durum,2025-02-05,2025-05-29,Urea,226.0,Glyphosate,29.9,Sprinkler,1541.0,5491.4,4310.4,7.5,320.1,13.9,61.1,4,Plough,0.97,5326.65
93,"Gray, Johnson and Rosales",F-397,South Jason,Soybean,Yellow,2024-08-18,2024-12-26,Urea,262.8,Neem Oil,22.7,Flood,1456.6,7010.6,3653.1,7.09,505.3,13.7,80.1,4,Tractor,0.96,6730.14
94,Peterson-Beard,F-664,Angelahaven,Soybean,Yellow,2025-01-10,2025-05-26,NPK 15-15-15,203.0,Glyphosate,6.6,Sprinkler,1999.4,5986.2,4836.1,6.94,515.4,22.8,173.5,3,Tractor,1.26,7542.6
95,Allen Group,F-948,Petersbury,Barley,Hulled,2023-09-27,2024-02-21,Compost,209.9,Glyphosate,24.2,Drip,1148.9,5192.5,3383.4,7.32,233.2,13.7,73.0,4,Tractor,0.45,2336.62
96,Brewer-Henry,F-180,North Kellyfurt,Barley,Hulled,2024-10-19,2025-03-02,Urea,99.1,Neem Oil,11.9,Flood,954.2,9527.3,6195.5,6.57,501.5,14.4,191.2,4,Tractor,0.64,6097.5
97,Torres PLC,F-756,Thomashaven,Potato,Red,2024-10-20,2025-01-23,Compost,116.2,Glyphosate,24.2,Sprinkler,1427.2,8427.1,15136.4,5.56,733.4,19.6,146.3,6,Harvester,0.35,2949.49
98,Barajas-Pierce,F-525,Jacquelineview,Corn,Dent,2024-01-24,2024-05-31,Urea,166.1,Chlorpyrifos,20.2,Sprinkler,1792.2,5081.9,2707.1,6.14,792.8,16.8,109.8,7,Plough,0.49,2490.13
99,Hall-Griffith,F-244,Davidside,Potato,Russet,2023-12-26,2024-05-04,NPK 15-15-15,62.7,Chlorpyrifos,26.6,Sprinkler,872.4,3175.6,4262.4,7.23,295.8,16.6,136.7,7,Tractor,0.84,2667.54
100,"Lopez, Robinson and Washington",F-192,Tinaborough,Corn,Dent,2024-12-14,2025-05-18,Urea,176.4,Glyphosate,10.4,Sprinkler,573.0,5201.3,2303.4,6.06,558.5,23.8,150.9,6,Plough,0.9,4681.2
101,Ward LLC,F-512,Lake Amandaview,Wheat,Durum,2023-12-18,2024-05-11,Urea,61.3,Glyphosate,19.3,Drip,1043.8,2205.4,2143.4,6.08,431.8,18.3,132.5,3,Tractor,0.74,1632.01
102,Tran Ltd,F-873,Lake Miranda,Wheat,Emmer,2023-06-06,2023-10-21,NPK 15-15-15,99.8,Neem Oil,15.0,Drip,568.0,8154.1,6921.0,5.77,399.8,18.6,118.5,10,Tractor,1.43,11660.33
103,Salas PLC,F-707,Taylormouth,Barley,Hulless,2024-05-17,2024-09-04,Urea,176.8,Neem Oil,18.3,Flood,1344.4,4536.6,2617.8,6.45,210.0,16.6,66.4,8,Plough,1.31,5942.93
104,Sheppard LLC,F-692,Wilsonland,Barley,Hulled,2024-01-21,2024-06-19,Compost,106.9,Glyphosate,19.6,Drip,1286.3,3389.8,1871.6,6.94,664.8,17.3,173.2,5,Tractor,1.47,4982.97
105,Jones-Soto,F-807,East Edwardshire,Potato,Russet,2024-03-08,2024-06-30,NPK 15-15-15,152.6,Neem Oil,28.0,Flood,1591.1,1170.4,1038.2,6.91,511.2,19.9,199.7,9,Plough,0.48,561.81
106,Mcknight Inc,F-792,Obrienbury,Soybean,Black,2023-12-23,2024-04-13,Compost,220.2,Neem Oil,11.6,Sprinkler,788.4,5137.0,3279.8,5.99,534.9,15.1,195.9,6,Harvester,0.96,4931.49
107,"James, Kerr and Evans",F-838,Torreston,Corn,Dent,2024-12-24,2025-05-03,Urea,121.9,Neem Oil,21.9,Sprinkler,1843.6,5318.2,3280.9,6.29,407.1,22.8,72.0,2,Harvester,1.42,7551.89
108,"Garcia, Farmer and Garrett",F-947,Donnaburgh,Wheat,Emmer,2024-08-17,2025-01-10,Compost,117.8,Neem Oil,22.4,Drip,663.8,6903.7,3461.1,6.98,343.6,12.7,185.8,5,Plough,0.56,3866.1
109,Arnold and Sons,F-889,South Shannonfort,Corn,Sweet,2023-11-04,2024-02-14,NPK 15-15-15,51.3,Neem Oil,29.4,Drip,1110.4,4719.7,2439.5,7.37,727.0,18.7,79.9,6,Harvester,0.42,1982.28
110,Hall Ltd,F-970,Jacquelinemouth,Barley,Hulled,2023-12-14,2024-03-24,NPK 15-15-15,278.3,Glyphosate,15.4,Drip,1900.9,6870.7,7124.0,5.57,701.7,23.0,77.9,6,Tractor,1.19,8176.12
111,"Hall, Baker and Moody",F-756,South Danny,Wheat,Emmer,2023-06-26,2023-10-07,Compost,181.1,Glyphosate,26.3,Sprinkler,909.3,9356.1,7996.1,7.12,398.4,22.2,147.2,4,Tractor,0.85,7952.68
112,"Hernandez, Baker and Thomas",F-946,East Laurashire,Barley,Hulless,2023-10-23,2024-02-14,Urea,178.8,Glyphosate,15.0,Drip,777.2,2579.5,1166.0,5.78,394.2,15.5,89.1,5,Harvester,1.38,3559.65
113,Gonzales-Harrison,F-468,Hollyview,Barley,Hulless,2025-04-16,2025-08-22,Compost,109.1,Neem Oil,8.0,Sprinkler,739.6,6242.1,3792.9,6.87,753.9,24.4,165.5,3,Plough,0.61,3807.71
